Level,ParentCode,ParentName,AreaCode,AreaName,isSIDS,isLDC,isLLDC,Order,childrenNo
3,MDG_SSA,Sub-Saharan Africa,NAM,Namibia,FALSE,FALSE,FALSE,1020234,0
3,MDG_SSA,Sub-Saharan Africa,NER,Niger,FALSE,TRUE,TRUE,1020235,0
3,MDG_SSA,Sub-Saharan Africa,NGA,Nigeria,FALSE,FALSE,FALSE,1020236,0
3,MDG_SSA,Sub-Saharan Africa,REU,Réunion,FALSE,FALSE,FALSE,1020237,0
3,MDG_SSA,Sub-Saharan Africa,RWA,Rwanda,FALSE,TRUE,TRUE,1020238,0
3,MDG_SSA,Sub-Saharan Africa,STP,Sao Tome and Principe,TRUE,FALSE,FALSE,1020239,0
3,MDG_SSA,Sub-Saharan Africa,SEN,Senegal,FALSE,TRUE,FALSE,1020240,0
3,MDG_SSA,Sub-Saharan Africa,SYC,Seychelles,TRUE,FALSE,FALSE,1020241,0
3,MDG_SSA,Sub-Saharan Africa,SLE,Sierra Leone,FALSE,TRUE,FALSE,1020242,0
3,MDG_SSA,Sub-Saharan Africa,SOM,Somalia,FALSE,TRUE,FALSE,1020243,0
3,MDG_SSA,Sub-Saharan Africa,ZAF,South Africa,FALSE,FALSE,FALSE,1020244,0
3,MDG_SSA,Sub-Saharan Africa,SSD,South Sudan,FALSE,TRUE,TRUE,1020245,0
3,MDG_SSA,Sub-Saharan Africa,SDN,Sudan,FALSE,TRUE,FALSE,1020246,0
3,MDG_SSA,Sub-Saharan Africa,SWZ,Swaziland,FALSE,FALSE,TRUE,1020247,0
3,MDG_SSA,Sub-Saharan Africa,TGO,Togo,FALSE,TRUE,FALSE,1020248,0
3,MDG_SSA,Sub-Saharan Africa,UGA,Uganda,FALSE,TRUE,TRUE,1020249,0
3,MDG_SSA,Sub-Saharan Africa,TZA,United Republic of Tanzania,FALSE,TRUE,FALSE,1020250,0
3,MDG_SSA,Sub-Saharan Africa,ZMB,Zambia,FALSE,TRUE,TRUE,1020251,0
3,MDG_SSA,Sub-Saharan Africa,ZWE,Zimbabwe,FALSE,FALSE,TRUE,1020252,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_LAC,Latin America and the Caribbean,FALSE,FALSE,FALSE,1020300,48
3,MDG_LAC,Latin America and the Caribbean,AIA,Anguilla,TRUE,FALSE,FALSE,1020301,0
3,MDG_LAC,Latin America and the Caribbean,ATG,Antigua and Barbuda,TRUE,FALSE,FALSE,1020302,0
3,MDG_LAC,Latin America and the Caribbean,ARG,Argentina,FALSE,FALSE,FALSE,1020303,0
3,MDG_LAC,Latin America and the Caribbean,ABW,Aruba,TRUE,FALSE,FALSE,1020304,0
3,MDG_LAC,Latin America and the Caribbean,BHS,Bahamas,TRUE,FALSE,FALSE,1020305,0
3,MDG_LAC,Latin America and the Caribbean,BRB,Barbados,TRUE,FALSE,FALSE,1020306,0
3,MDG_LAC,Latin America and the Caribbean,BLZ,Belize,TRUE,FALSE,FALSE,1020307,0
3,MDG_LAC,Latin America and the Caribbean,BOL,Bolivia (Plurinational State of),FALSE,FALSE,TRUE,1020308,0
3,MDG_LAC,Latin America and the Caribbean,BES,"Bonaire, Sint Eustatius and Saba",FALSE,FALSE,FALSE,1020309,0
3,MDG_LAC,Latin America and the Caribbean,BRA,Brazil,FALSE,FALSE,FALSE,1020310,0
3,MDG_LAC,Latin America and the Caribbean,VGB,British Virgin Islands,TRUE,FALSE,FALSE,1020311,0
3,MDG_LAC,Latin America and the Caribbean,CYM,Cayman Islands,FALSE,FALSE,FALSE,1020312,0
3,MDG_LAC,Latin America and the Caribbean,CHL,Chile,FALSE,FALSE,FALSE,1020313,0
3,MDG_LAC,Latin America and the Caribbean,COL,Colombia,FALSE,FALSE,FALSE,1020314,0
3,MDG_LAC,Latin America and the Caribbean,CRI,Costa Rica,FALSE,FALSE,FALSE,1020315,0
3,MDG_LAC,Latin America and the Caribbean,CUB,Cuba,TRUE,FALSE,FALSE,1020316,0
3,MDG_LAC,Latin America and the Caribbean,CUW,Curaçao,TRUE,FALSE,FALSE,1020317,0
3,MDG_LAC,Latin America and the Caribbean,DMA,Dominica,TRUE,FALSE,FALSE,1020318,0
3,MDG_LAC,Latin America and the Caribbean,DOM,Dominican Republic,TRUE,FALSE,FALSE,1020319,0
3,MDG_LAC,Latin America and the Caribbean,ECU,Ecuador,FALSE,FALSE,FALSE,1020320,0
3,MDG_LAC,Latin America and the Caribbean,SLV,El Salvador,FALSE,FALSE,FALSE,1020321,0
3,MDG_LAC,Latin America and the Caribbean,FLK,Falkland Islands (Malvinas),FALSE,FALSE,FALSE,1020322,0
3,MDG_LAC,Latin America and the Caribbean,GUF,French Guiana,FALSE,FALSE,FALSE,1020323,0
3,MDG_LAC,Latin America and the Caribbean,GRD,Grenada,TRUE,FALSE,FALSE,1020324,0
3,MDG_LAC,Latin America and the Caribbean,GLP,Guadeloupe,FALSE,FALSE,FALSE,1020325,0
3,MDG_LAC,Latin America and the Caribbean,GTM,Guatemala,FALSE,FALSE,FALSE,1020326,0
3,MDG_LAC,Latin America and the Caribbean,GUY,Guyana,TRUE,FALSE,FALSE,1020327,0
3,MDG_LAC,Latin America and the Caribbean,HTI,Haiti,TRUE,TRUE,FALSE,1020328,0
3,MDG_LAC,Latin America and the Caribbean,HND,Honduras,FALSE,FALSE,FALSE,1020329,0
3,MDG_LAC,Latin America and the Caribbean,JAM,Jamaica,TRUE,FALSE,FALSE,1020330,0
3,MDG_LAC,Latin America and the Caribbean,MTQ,Martinique,FALSE,FALSE,FALSE,1020331,0
3,MDG_LAC,Latin America and the Caribbean,MEX,Mexico,FALSE,FALSE,FALSE,1020332,0
3,MDG_LAC,Latin America and the Caribbean,MSR,Montserrat,TRUE,FALSE,FALSE,1020333,0
3,MDG_LAC,Latin America and the Caribbean,NIC,Nicaragua,FALSE,FALSE,FALSE,1020334,0
3,MDG_LAC,Latin America and the Caribbean,PAN,Panama,FALSE,FALSE,FALSE,1020335,0
3,MDG_LAC,Latin America and the Caribbean,PRY,Paraguay,FALSE,FALSE,TRUE,1020336,0
3,MDG_LAC,Latin America and the Caribbean,PER,Peru,FALSE,FALSE,FALSE,1020337,0
3,MDG_LAC,Latin America and the Caribbean,PRI,Puerto Rico,TRUE,FALSE,FALSE,1020338,0
3,MDG_LAC,Latin America and the Caribbean,KNA,Saint Kitts and Nevis,TRUE,FALSE,FALSE,1020339,0
3,MDG_LAC,Latin America and the Caribbean,LCA,Saint Lucia,TRUE,FALSE,FALSE,1020340,0
3,MDG_LAC,Latin America and the Caribbean,VCT,Saint Vincent and the Grenadines,TRUE,FALSE,FALSE,1020341,0
3,MDG_LAC,Latin America and the Caribbean,SXM,Sint Maarten (Dutch part),TRUE,FALSE,FALSE,1020342,0
3,MDG_LAC,Latin America and the Caribbean,SUR,Suriname,TRUE,FALSE,FALSE,1020343,0
3,MDG_LAC,Latin America and the Caribbean,TTO,Trinidad and Tobago,TRUE,FALSE,FALSE,1020344,0
3,MDG_LAC,Latin America and the Caribbean,TCA,Turks and Caicos Islands,FALSE,FALSE,FALSE,1020345,0
3,MDG_LAC,Latin America and the Caribbean,VIR,United States Virgin Islands,TRUE,FALSE,FALSE,1020346,0
3,MDG_LAC,Latin America and the Caribbean,URY,Uruguay,FALSE,FALSE,FALSE,1020347,0
3,MDG_LAC,Latin America and the Caribbean,VEN,Venezuela (Bolivarian Republic of),FALSE,FALSE,FALSE,1020348,0
2,MDG_DEVELOPING_REG,Developing regions,CAU_CEN_ASIA,Caucasus and Central Asia,FALSE,FALSE,FALSE,1020400,8
3,CAU_CEN_ASIA,Caucasus and Central Asia,ARM,Armenia,FALSE,FALSE,TRUE,1020401,0
3,CAU_CEN_ASIA,Caucasus and Central Asia,AZE,Azerbaijan,FALSE,FALSE,TRUE,1020402,0
